geo_id	geographic_area_name	total_estimate	total_moe	total_english_only_estimate	total_english_only	total_spanish_estimate	total_spanish	total_spanish_ep_estimate	total_spanish_ep	total_spanish_elp_estimate	total_spanish_elp	total_french_haitian_or_cajun_estimate	total_french_haitian_or_cajun	total_french_haitian_or_cajun_ep_estimate	total_french_haitian_or_cajun_ep	total_french_haitian_or_cajun_elp_estimate	total_french_haitian_or_cajun_elp	total_german_or_other_west_germanic_languages_estimate	total_german_or_other_west_germanic_languages	total_german_or_other_west_germanic_languages_ep_estimate	total_german_or_other_west_germanic_languages_ep	total_german_or_other_west_germanic_languages_elp_estimate	total_german_or_other_west_germanic_languages_elp	total_russian_polish_or_other_slavic_languages_estimate	total_russian_polish_or_other_slavic_languages	total_russian_polish_or_other_slavic_languages_ep_estimate	total_russian_polish_or_other_slavic_languages_ep	total_russian_polish_or_other_slavic_languages_elp_estimate	total_russian_polish_or_other_slavic_languages_elp	total_other_indo_european_languages_estimate	total_other_indo_european_languages	total_other_indo_european_languages_ep_estimate	total_other_indo_european_languages_ep	total_other_indo_european_languages_elp_estimate	total_other_indo_european_languages_elp	total_korean_estimate	total_korean	total_korean_ep_estimate	total_korean_ep	total_korean_elp_estimate	total_korean_elp	total_chinese_incl_mandarin_cantonese_estimate	total_chinese_incl_mandarin_cantonese	total_chinese_incl_mandarin_cantonese_ep_estimate	total_chinese_incl_mandarin_cantonese_ep	total_chinese_incl_mandarin_cantonese_elp_estimate	total_chinese_incl_mandarin_cantonese_elp	total_vietnamese_estimate	total_vietnamese	total_vietnamese_ep_estimate	total_vietnamese_ep	total_vietnamese_elp_estimate	total_vietnamese_elp	total_tagalog_incl_filipino_estimate	total_tagalog_incl_filipino	total_tagalog_incl_filipino_ep_estimate	total_tagalog_incl_filipino_ep	total_tagalog_incl_filipino_elp_estimate	total_tagalog_incl_filipino_elp	total_other_asian_and_pacific_island_languages_estimate	total_other_asian_and_pacific_island_languages	total_other_asian_and_pacific_island_languages_ep_estimate	total_other_asian_and_pacific_island_languages_ep	total_other_asian_and_pacific_island_languages_elp_estimate	total_other_asian_and_pacific_island_languages_elp	total_arabic_estimate	total_arabic	total_arabic_ep_estimate	total_arabic_ep	total_arabic_elp_estimate	total_arabic_elp	total_other_and_unspecified_languages_estimate	total_other_and_unspecified_languages	total_other_and_unspecified_languages_ep_estimate	total_other_and_unspecified_languages_ep	total_other_and_unspecified_languages_elp_estimate	total_other_and_unspecified_languages_elp
0500000US01001	Autauga County, Alabama	55855	92	53704	399	1031	260	895	265	136	88	14	24	14	24	0	31	94	72	79	62	15	21	205	272	162	216	43	58	143	171	45	43	98	166	0	31	0	31	0	31	152	240	90	138	62	106	0	31	0	31	0	31	226	158	155	172	71	104	165	210	115	150	50	63	0	31	0	31	0	31	121	169	0	31	121	169
0500000US01003	Baldwin County, Alabama	227497	57	215020	1285	7438	925	4354	785	3084	626	618	299	518	262	100	78	440	255	411	263	29	37	661	471	524	394	137	175	1802	704	1163	614	639	233	121	140	36	63	85	110	295	238	158	138	137	119	108	98	57	65	51	61	202	180	154	118	48	76	372	175	59	75	313	182	25	26	19	24	6	11	395	364	364	359	31	51
0600000US0100190171	Autaugaville CCD, Autauga County, Alabama	4125	631	3970	625	145	109	122	84	23	41	0	13	0	13	0	13	10	17	10	17	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13
0600000US0100190315	Billingsley CCD, Autauga County, Alabama	2638	443	2638	443	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13	0	13
