geo_id	geographic_area_name	total_population	total_population_moe	male_population	male_population_moe	female_population	female_population_moe	sex_ratio_males_per_100_females	sex_ratio_moe	age_under_5	age_under_5_moe	age_5_to_9	age_5_to_9_moe	age_10_to_14	age_10_to_14_moe	age_15_to_19	age_15_to_19_moe	age_20_to_24	age_20_to_24_moe	age_25_to_34	age_25_to_34_moe	age_35_to_44	age_35_to_44_moe	age_45_to_54	age_45_to_54_moe	age_55_to_59	age_55_to_59_moe	age_60_to_64	age_60_to_64_moe	age_65_to_74	age_65_to_74_moe	age_75_to_84	age_75_to_84_moe	age_85_and_over	age_85_and_over_moe	median_age	median_age_moe	age_under_18	age_under_18_moe	age_16_and_over	age_16_and_over_moe	age_18_and_over	age_18_and_over_moe	age_21_and_over	age_21_and_over_moe	age_62_and_over	age_62_and_over_moe	age_65_and_over	age_65_and_over_moe	adults_18_and_over_male	adults_18_and_over_male_moe	adults_18_and_over_female	adults_18_and_over_female_moe	adults_18_and_over_sex_ratio	adults_18_and_over_sex_ratio_moe	seniors_65_and_over_male	seniors_65_and_over_male_moe	seniors_65_and_over_female	seniors_65_and_over_female_moe	seniors_65_and_over_sex_ratio	seniors_65_and_over_sex_ratio_moe
0500000US01001	Autauga County, Alabama	59285		28669	263	30616	263	93.6	1.7	3430	92	3411	439	4338	438	3922	196	3417	203	7605	215	7902	176	7904	255	4364	368	3518	370	5459	76	3218	187	797	188	39.2	0.7	13926	42	47508	227	45359	42	43847	251	11491	361	9474	116	45359	42	21673	133	23686	132	91.5	1.1	9474	116	4136	42
0500000US01003	Baldwin County, Alabama	239945		117316	153	122629	153	95.7	0.2	12448	57	13152	768	16079	766	14603	329	11675	329	26412	340	29266	412	30466	454	15646	974	18872	972	30909	172	15607	665	4810	697	43.7	0.2	51128		195048	457	188817		181431	585	62873	1011	51326	65	188817		90876		97941		92.8		51326	65	23808	60
0600000US0100190171	Autaugaville CCD, Autauga County, Alabama	4481	659	2064	325	2417	485	85.4	18.4	356	193	335	194	270	108	254	142	306	201	566	213	408	122	388	142	186	117	553	184	588	213	242	92	29	23	38.4	6.8	1141	347	3520	536	3340	487	3207	499	1199	247	859	229	3340	487	1667	295	1673	314	99.6	21.7	859	229	534	208
0600000US0100190315	Billingsley CCD, Autauga County, Alabama	2820	471	1341	277	1479	288	90.7	20.3	182	134	164	102	96	81	174	109	236	139	358	190	348	165	567	157	236	178	125	83	214	82	107	69	13	18	42.2	9.2	527	158	2340	420	2293	424	2204	400	432	124	334	83	2293	424	1111	244	1182	257	94	21.4	334	83	113	53
